state,sensor_01,machine_status,,
0,47.09201,1,,
1,47.09201,1,,
2,47.35243,1,,
3,47.09201,1,,
4,47.13541,1,,
5,47.09201,1,,
6,47.04861,1,,
7,47.13541,1,,
8,47.09201,1,,
9,47.17882,1,,
10,47.48264,1,,
11,47.91666,1,,
12,48.26389,1,,
13,48.4375,1,,
14,48.56771,1,,
15,48.3941,1,,
16,48.3941,1,,
17,48.4809,1,,
18,48.61111,1,,
19,48.61111,1,,
20,49.08854,1,,
21,49.21875,1,,
22,48.78472,1,,
23,49.08854,1,,
24,49.21875,1,,
25,49.30555,1,,
26,49.08854,1,,
27,48.78472,1,,
28,48.35069,1,,
29,48.04688,1,,
30,47.91666,1,,
31,47.78646,1,,
32,48.61111,1,,
33,48.4375,1,,
34,49.08854,1,,
35,48.78472,1,,
36,48.78472,1,,
37,48.69791,1,,
38,48.65451,1,,
39,48.82813,1,,
40,49.26215,1,,
41,49.26215,1,,
42,49.04514,1,,
43,49.08854,1,,
44,48.87152,1,,
45,49.08854,1,,
46,49.13194,1,,
47,49.13194,1,,
48,49.26215,1,,
49,49.04514,1,,
50,49.43576,1,,
51,49.34896,1,,
52,49.26215,1,,
53,49.30555,1,,
54,49.30555,1,,
55,49.26215,1,,
56,49.26215,1,,
57,49.43576,1,,
58,49.21875,1,,
59,49.30555,1,,
60,49.08854,1,,
61,49.08854,1,,
62,49.04514,1,,
63,48.4809,1,,
64,47.78646,1,,
65,47.04861,1,,
66,47.09201,1,,
67,47.74305,1,,
68,46.48438,1,,
69,47.52604,1,,
70,48.04688,1,,
71,48.26389,1,,
72,48.4375,1,,
73,47.78646,1,,
74,47.74305,1,,
75,47.69965,1,,
76,47.56944,1,,
77,47.35243,1,,
78,47.48264,1,,
79,47.48264,1,,
80,47.30902,1,,
81,47.26563,1,,
82,47.26563,1,,
83,47.56944,1,,
84,47.26563,1,,
85,47.56944,1,,
86,47.35243,1,,
87,47.30902,1,,
88,47.30902,1,,
89,47.35243,1,,
90,47.26563,1,,
91,47.26563,1,,
92,47.48264,1,,
93,47.69965,1,,
94,47.78646,1,,
95,47.91666,1,,
96,47.91666,1,,
97,48.17708,1,,
98,48.17708,1,,
99,48.35069,1,,
100,48.26389,1,,
101,48.35069,1,,
102,48.4375,1,,
103,48.35069,1,,
104,48.3941,1,,
105,48.4375,1,,
106,48.61111,1,,
107,48.78472,1,,
108,48.82813,1,,
109,48.91493,1,,
110,48.82813,1,,
111,48.82813,1,,
112,48.78472,1,,
113,48.69791,1,,
114,48.65451,1,,
115,48.4375,1,,
116,48.69791,1,,
117,48.65451,1,,
118,48.4809,1,,
119,48.65451,1,,
120,48.78472,1,,
121,48.78472,1,,
122,48.61111,1,,
123,48.65451,1,,
124,48.69791,1,,
125,48.78472,1,,
126,48.78472,1,,
127,48.78472,1,,
128,48.91493,1,,
129,49.00174,1,,
130,48.91493,1,,
131,48.91493,1,,
132,48.87152,1,,
133,48.82813,1,,
134,48.87152,1,,
135,48.87152,1,,
136,49.00174,1,,
137,49.08854,1,,
138,49.13194,1,,
139,49.08854,1,,
140,49.13194,1,,
141,49.13194,1,,
142,49.21875,1,,
143,49.26215,1,,
144,49.34896,1,,
145,49.34896,1,,
146,49.34896,1,,
147,49.30555,1,,
148,49.43576,1,,
149,49.43576,1,,
150,49.43576,1,,
151,49.52257,1,,
152,49.56597,1,,
